date_checked,origin,destination,price_usd,airlines,out_departure,ret_departure,seats_left
2025-11-16,ORD,KEF,527.63,FI,2026-03-22T19:30:00,2026-04-02T16:25:00,1
2025-11-16,ORD,KRK,,,,,
2025-11-16,ORD,LHR,761.13,UA,2026-03-22T16:45:00,2026-04-02T08:00:00,9
2025-11-16,ORD,LIS,,,,,
2025-11-16,ORD,MAD,697.03,"AY,IB",2026-03-22T18:40:00,2026-04-02T16:40:00,7
2025-11-16,ORD,MUC,832.33,UA,2026-03-22T22:50:00,2026-04-02T11:30:00,9
2025-11-16,ORD,MXP,,,,,
2025-11-16,ORD,VIE,,,,,
2025-11-16,ORD,WAW,,,,,
2025-11-16,ORD,ZRH,748.13,UA,2026-03-22T17:10:00,2026-04-02T13:05:00,9
2025-11-17,ORD,AMS,857.93,UA,2026-03-22T19:10:00,2026-04-02T12:00:00,5
2025-11-17,ORD,BCN,,,,,
2025-11-17,ORD,BEG,,,,,
2025-11-17,ORD,BRU,751.13,UA,2026-03-22T17:55:00,2026-04-02T10:15:00,9
2025-11-17,ORD,CDG,642.73,UA,2026-03-22T19:45:00,2026-04-02T11:15:00,9
2025-11-17,ORD,CPH,,,,,
2025-11-17,ORD,DUB,785.53,UA,2026-03-22T19:35:00,2026-04-02T11:35:00,1
2025-11-17,ORD,FCO,911.23,UA,2026-03-22T16:45:00,2026-04-02T09:45:00,9
2025-11-17,ORD,FRA,851.03,UA,2026-03-22T17:20:00,2026-04-02T08:50:00,9
2025-11-17,ORD,IST,897.83,TK,2026-03-22T12:50:00,2026-04-02T06:30:00,5
2025-11-17,ORD,KEF,601.63,FI,2026-03-22T19:30:00,2026-04-02T16:25:00,6
2025-11-17,ORD,KRK,,,,,
2025-11-17,ORD,LHR,761.13,UA,2026-03-22T16:45:00,2026-04-02T08:00:00,9
2025-11-17,ORD,LIS,,,,,
2025-11-17,ORD,MAD,697.03,"AY,IB",2026-03-22T18:40:00,2026-04-02T16:40:00,7
2025-11-17,ORD,MUC,832.33,UA,2026-03-22T22:50:00,2026-04-02T11:30:00,9
2025-11-17,ORD,MXP,,,,,
2025-11-17,ORD,VIE,,,,,
2025-11-17,ORD,WAW,,,,,
2025-11-17,ORD,ZRH,748.13,UA,2026-03-22T17:10:00,2026-04-02T13:05:00,9
2025-11-18,ORD,AMS,857.93,UA,2026-03-22T19:10:00,2026-04-02T12:00:00,4
2025-11-18,ORD,BCN,,,,,
2025-11-18,ORD,BEG,,,,,
2025-11-18,ORD,BRU,751.13,UA,2026-03-22T17:55:00,2026-04-02T10:15:00,9
2025-11-18,ORD,CDG,642.83,UA,2026-03-22T19:45:00,2026-04-02T11:15:00,9
2025-11-18,ORD,CPH,,,,,
2025-11-18,ORD,DUB,785.53,UA,2026-03-22T19:35:00,2026-04-02T11:35:00,1
2025-11-18,ORD,FCO,911.23,UA,2026-03-22T16:45:00,2026-04-02T09:45:00,4
2025-11-18,ORD,FRA,849.93,UA,2026-03-22T17:20:00,2026-04-02T08:50:00,9
2025-11-18,ORD,IST,897.83,TK,2026-03-22T12:50:00,2026-04-02T06:30:00,9
2025-11-18,ORD,KEF,533.53,FI,2026-03-22T19:30:00,2026-04-02T16:25:00,1
2025-11-18,ORD,KRK,,,,,
2025-11-18,ORD,LHR,761.43,UA,2026-03-22T16:45:00,2026-04-02T08:00:00,7
2025-11-18,ORD,LIS,,,,,
2025-11-18,ORD,MAD,697.03,"AY,IB",2026-03-22T18:40:00,2026-04-02T16:40:00,2
2025-11-18,ORD,MUC,832.33,UA,2026-03-22T22:50:00,2026-04-02T11:30:00,9
2025-11-18,ORD,MXP,,,,,
2025-11-18,ORD,VIE,,,,,
2025-11-18,ORD,WAW,,,,,
2025-11-18,ORD,ZRH,748.23,UA,2026-03-22T17:10:00,2026-04-02T13:05:00,9
